classification,start_time,end_time
NFP,2.0405668934240366,2.5405668934240366
NFP,2.1405668934240367,2.6405668934240367
NFP,3.6805668934240368,4.180566893424037
NFP,3.7805668934240373,4.2805668934240355
NFP,4.7305668934240375,5.2305668934240375
FP,4.830566893424036,5.330566893424036
FP,4.930566893424036,5.430566893424037
NFP,6.010566893424038,6.510566893424038
NFP,6.210566893424036,6.710566893424036
NFP,6.9405668934240365,7.440566893424035
NFP,7.040566893424036,7.540566893424036
NFP,7.140566893424037,7.640566893424037
NFP,7.2405668934240355,7.7405668934240355
FP,7.990566893424036,8.490566893424036
FP,8.090566893424036,8.590566893424036
NFP,9.110566893424037,9.420566893424038
NFP,9.590566893424038,9.770566893424038
NFP,10.210566893424037,10.710566893424037
NFP,10.310566893424038,10.810566893424037
NFP,11.740566893424036,12.240566893424036
NFP,11.840566893424036,12.340566893424036
NFP,11.940566893424034,12.440566893424034
NFP,12.040566893424034,12.540566893424034
NFP,12.140566893424035,12.640566893424035
NFP,12.240566893424035,12.740566893424035
NFP,12.340566893424034,12.840566893424034
NFP,14.420566893424036,14.550566893424039
FP,14.710566893424033,15.170566893424036
