classification,start_time,end_time,duration,f0_mean,f0_std,f0_max,f0_min,f0_reg_coef,f0_reg_coef_mse,f0_slope,mean_distances_f0,silence_before_duration,silence_after_duration,energy_reg,energy_reg_mse,energy_max,energy_mean,mean_coeff_0,mean_coeff_1,mean_coeff_2,mean_coeff_3,mean_coeff_4,mean_coeff_5,mean_coeff_6,mean_coeff_7,mean_coeff_8,mean_coeff_9,mean_coeff_10,mean_coeff_11,mean_coeff_12,std_coeff_0,std_coeff_1,std_coeff_2,std_coeff_3,std_coeff_4,std_coeff_5,std_coeff_6,std_coeff_7,std_coeff_8,std_coeff_9,std_coeff_10,std_coeff_11,std_coeff_12,stability_distance
NFP,13.64,14.14,0.5,197.0119324,7.922819203,206.9421168,194.9353335,7.295425016,14.55796713,-62.21013389,1.897185796,0,0,0.303287219,0.006838968,0.508900227,0.153894951,638.8950209,129.2438682,87.51136231,67.91682169,-14.71893805,-17.16145691,-13.90709116,-22.66093752,-13.74864409,1.38374447,-2.251186681,2.601195389,-10.73540306,12.78649455,10.67299518,6.500883782,5.599165592,4.773194339,4.221626071,4.660651227,3.616361788,2.881280422,2.684397742,1.675505059,1.649502723,1.516122089,121.5632035
NFP,13.74,14.24,0.5,196.4323139,7.920403792,206.6872792,194.9353335,9.300673558,11.18738655,-19.17782465,1.69256785,0,0,0.220126823,0.007217868,0.508900227,0.155528482,651.071945,144.0854576,98.95547701,72.65103865,-13.1841898,-16.49394627,-15.24767294,-21.97660814,-12.91386557,3.299231175,-0.714911136,2.543669522,-12.84140009,11.27943282,10.92957753,7.271618838,5.493941232,4.643918217,3.450721818,4.177101459,3.440251088,2.937491921,2.615845208,1.637210589,1.649600788,1.463752938,154.6781763
NFP,13.84,14.34,0.5,198.2076066,7.512274635,209.8335856,197.6174562,-4.821874487,12.50560263,-25.87520011,2.361223803,0,0,0.078833595,0.007984994,0.508900227,0.155335003,656.4542291,144.2793924,94.50032785,71.94531249,-10.08252205,-13.85746929,-15.08287474,-25.11023596,-18.59370543,-3.366697764,-3.764286958,0.911422741,-14.60587962,10.79603715,10.83374392,7.453627323,5.611882716,4.729732354,3.666571051,4.415456904,3.434008967,2.845150458,2.504155758,1.457878198,1.674400693,1.406401408,122.5352359
NFP,13.94,14.44,0.5,196.8805744,6.832380028,205.8645662,194.0975835,-18.88460652,6.185745067,-36.24842116,2.076022272,0,0,-0.087363784,0.007794166,0.508900227,0.156611803,666.2027216,181.6165892,105.9440808,50.69287444,3.077453119,-14.76590113,-28.27439758,-22.3758289,-15.15835988,-8.738629216,-5.728952856,4.15973638,-14.41593958,10.91873687,6.895027524,6.40331289,3.586669305,4.846130918,3.707742814,3.307811059,3.530456586,2.723654982,2.71527415,1.586783692,1.863522145,1.467681194,86.48518957
NFP,14.04,14.54,0.5,196.0145737,5.9290089,202.2566238,194.0975835,-1.595268564,7.888191243,-1.104977685,1.81283357,0,0,-0.220932173,0.00715011,0.508900227,0.158963212,683.8473527,197.6352638,109.1777451,50.07759978,8.722620362,-15.07720911,-36.2951894,-26.54419303,-13.12714151,-4.07580507,-0.781709682,6.24402571,-14.02567705,10.99147401,6.658067002,6.219249143,3.40607798,4.999368985,3.573940393,3.227197021,3.567898804,2.378065876,2.567069902,1.512472676,1.953597063,1.430421893,89.25481964
NFP,14.73,15.04,0.31,198.8508862,7.292759101,208.5411287,199.8413611,-12.00193716,5.646468329,-18.82767549,1.031865584,0.14,0.12,-0.276798422,0.000104399,0.32223356,0.096134775,679.7465729,205.7104515,105.2237255,19.9993696,-14.36581857,-21.32396008,-28.97592295,-20.11084223,0.962647219,17.6005749,-2.267105086,-7.081928107,-20.50156932,12.98080257,11.34329995,6.712081648,3.852977622,6.286157061,4.712275764,3.793317504,1.924872162,2.161605195,2.022966639,1.386825837,1.541787582,1.603475576,51.9238711
NFP,15.16,15.66,0.5,190.1478885,8.949532977,199.7784848,179.7185826,-42.77111448,13.52652691,-61.19503733,1.437676175,0.12,0,-0.10038123,0.00119747,0.508900227,0.152739412,691.2774676,194.4455448,100.4171532,54.40375928,30.39150066,7.241243444,-30.67917298,-39.226991,-17.76163221,-0.915115837,-17.42858793,-9.788955958,-13.55633724,15.28803953,7.374628376,3.442058252,6.50309507,6.853173619,2.626736039,4.725123942,4.371059632,2.399706513,2.752289817,1.679940119,1.507836141,1.920389338,84.04479801
NFP,15.26,15.76,0.5,187.3956928,7.544375203,196.8048523,179.7885367,-28.43558414,14.93984988,-11.56643974,1.238895989,0,0,-0.068067309,0.001106378,0.508900227,0.148234591,687.2262928,194.7690738,93.80175185,36.47735222,10.33626671,-1.618220096,-17.37779195,-18.36984963,-5.399531688,3.181332587,-19.67700819,-10.43179783,-9.145949742,14.78026214,7.85666066,4.008394709,6.09551238,6.384196309,2.777849816,4.29390158,3.923602488,2.885228126,2.867711882,1.729852254,1.594814914,1.861788304,110.8053777
NFP,15.36,15.86,0.5,189.6253246,11.41837859,199.9374657,179.7885367,-19.67574766,32.02559526,11.43036976,1.530294207,0,0,0.014948318,0.000845878,0.508900227,0.145793327,692.8524165,210.7079879,98.81519899,13.76760491,-22.43943445,-17.53100172,-6.626772982,-2.007913462,4.365065325,11.83066763,-19.92990807,-11.84789734,-6.779360988,14.53918128,8.245784036,4.507708856,4.290824876,5.247459426,3.34658731,2.53573641,2.505209921,2.967746884,2.469013316,1.708242598,1.573161612,1.6461274,95.18340975
NFP,15.46,15.96,0.5,193.5001927,16.97514865,223.6394932,179.7885367,54.44775036,87.81297794,39.2061017,2.060597982,0,0,-0.101974718,0.000630086,0.508900227,0.145739293,727.2259116,220.3358151,90.78952738,2.582427103,-38.68562125,-27.80898658,-10.25775677,-2.186079351,9.097078782,14.76649561,-16.05320774,-10.46586656,-8.272493848,10.80152332,7.057337141,5.385438872,2.902126767,3.86622693,2.61792672,2.641620136,2.52025669,2.518908267,2.099874027,1.747990825,1.567760762,1.867073696,67.02122381
NFP,15.56,16.06,0.5,194.5730706,18.05731745,223.9264502,179.7885367,79.45883206,77.6165743,113.8127264,2.609811528,0,0,0.006437599,0.000361516,0.508900227,0.141274242,698.8264656,186.9135576,67.15148967,11.67073719,-16.48155001,-21.71817267,-18.23291772,-5.010304852,6.187599755,6.022814848,-15.54904285,-6.867516454,-7.344086989,8.684487865,7.787140015,8.159084286,2.398685916,4.228144357,3.000238369,3.023594647,3.266425572,2.864441025,1.976585949,1.910699954,2.078374351,1.910099322,57.91382492
NFP,15.66,16.16,0.5,198.5582913,15.27279969,223.9264502,185.2131854,17.37194152,109.2125169,76.30423945,2.471648712,0,0,0.087980129,0.000577255,0.508900227,0.146846389,691.0350844,190.669165,83.23521484,27.98122054,-6.357980495,-16.96078334,-26.60784233,-18.82370067,-2.417546186,6.09306902,-9.237630919,-1.542051881,-10.80830412,9.240054763,7.61227639,8.794888938,3.501720071,4.746222738,3.362814876,2.974333602,3.580733677,3.072059387,1.967181511,2.045765707,2.580482377,1.864022831,63.52499656
NFP,15.76,16.26,0.5,199.311319,14.776366,223.9264502,185.8042693,-40.097884,68.31376828,61.28858926,3.369280574,0,0,0.039331092,0.000704612,0.508900227,0.147471187,670.6748991,180.8012042,92.95103897,45.95567045,6.957556802,-10.88376514,-27.8087731,-28.48739234,-13.58117218,1.107356773,-5.399271867,2.814743951,-13.64192589,10.60036627,7.228413597,8.901107423,4.436061385,5.081705035,3.307648895,2.817516982,3.529577592,2.756407824,1.776702957,1.739404025,2.446455332,1.827971343,95.17786067
