classification,start_time,end_time,duration,f0_mean,f0_std,f0_max,f0_min,f0_reg_coef,f0_reg_coef_mse,f0_slope,mean_distances_f0,silence_before_duration,silence_after_duration,energy_reg,energy_reg_mse,energy_max,energy_mean,mean_coeff_0,mean_coeff_1,mean_coeff_2,mean_coeff_3,mean_coeff_4,mean_coeff_5,mean_coeff_6,mean_coeff_7,mean_coeff_8,mean_coeff_9,mean_coeff_10,mean_coeff_11,mean_coeff_12,std_coeff_0,std_coeff_1,std_coeff_2,std_coeff_3,std_coeff_4,std_coeff_5,std_coeff_6,std_coeff_7,std_coeff_8,std_coeff_9,std_coeff_10,std_coeff_11,std_coeff_12,stability_distance
NFP,0.96,1.46,0.5,205.2383548,14.06802551,215.2451326,192.0717739,-52.30172268,11.00677442,-70.45314825,1.687558568,0.94,0,-0.156534622,0.007135882,0.508900227,0.177068256,746.203143,213.7261067,96.11140576,77.63632856,59.19299368,3.10284655,-32.43558443,-38.66983028,-46.56327742,-20.9780706,-11.8543325,-8.279816874,-11.91769361,8.673142447,6.864987431,4.967324737,4.892287499,2.945605087,2.338398808,3.328701095,2.211343366,1.755492577,2.138155824,2.463877447,2.07008738,1.903413205,82.65350815
NFP,1.06,1.56,0.5,199.5623246,9.833491691,211.1909988,190.8149848,-37.62529358,14.65541361,-23.15603577,1.460954414,0,0,-0.096432614,0.004578804,0.508900227,0.168355612,750.1321107,221.0288546,93.21506169,66.22980315,54.26875493,4.425772409,-33.13744566,-41.04481898,-44.6468901,-14.1239723,-5.372754283,-3.842231896,-5.944250047,7.927689821,6.715399197,4.640229815,5.065571154,3.246436474,2.22201862,3.339545102,2.06217301,1.778457869,1.888749579,1.973418648,1.756960544,1.842775858,70.32558072
NFP,1.16,1.66,0.5,197.5131932,9.336344552,205.5161851,190.8149848,-3.299592837,16.26273521,-6.4435393,1.627278734,0,0,-0.156518903,0.003359281,0.508900227,0.166841387,728.8454313,235.346709,114.3970453,61.53107944,51.20512503,0.603472911,-37.51658732,-38.82210331,-39.85507481,-15.73499337,-6.688847641,-1.241088183,-3.07566504,10.24978004,4.98384026,4.581808194,4.634483151,3.203300081,1.827541266,2.616359937,2.208302798,1.609532335,1.86609069,2.026888989,1.582370021,1.441657209,65.48554436
NFP,2.19,2.69,0.5,202.5739427,7.555883256,211.9079351,197.7423196,-18.98493709,13.39261164,-20.12629492,2.390500264,0,0,0.026787955,0.003170563,0.508900227,0.157210893,675.1172366,187.3939309,90.2784427,39.13256386,14.8587951,-6.202083832,-15.18623812,-15.95183539,-41.73126379,-31.50427193,-27.26054214,-16.69950272,-12.3627806,18.35340027,10.01218727,6.036838384,5.961519714,5.062902897,2.964397742,2.274616587,2.586290051,2.784658622,2.614544068,1.611541558,1.587540654,1.448043342,125.7289083
NFP,3.67,4.04,0.37,192.5218338,7.140148746,200.6469587,190.9255404,-22.35247683,4.680289096,-13.18938212,1.197772485,0.81,0.26,-0.127896929,0.000500052,0.380011338,0.121711307,704.1523807,214.5938683,113.8583109,79.13596463,65.93226291,-11.62744521,-72.76697263,-60.79219977,-41.98540431,-13.08476092,-0.308140159,3.284497268,-1.934523282,12.55825626,6.997598378,2.440558252,4.662831873,5.346086861,1.895683946,2.123054404,1.794361766,1.794263673,2.050946935,2.631575635,1.981301375,1.768445137,42.57518391
NFP,4.87,5.37,0.5,203.6626944,8.225900809,213.2795311,194.9891832,-13.59959172,27.57459097,-125.5170172,2.391419602,0.1,0,0.053176236,0.001505575,0.508900227,0.150863146,702.1441988,166.6942363,71.98026018,60.12013095,13.79757513,-18.6137808,-14.17573247,-10.95832173,-34.50058594,-30.38980775,-24.13383899,-8.895089729,-5.685637666,13.59382221,9.923369244,8.035249715,4.752835451,3.681094129,2.467221157,3.255035362,1.861415488,2.73155205,2.559892658,2.623707653,2.008973854,2.000639468,109.2170377
FP,5.65,6.15,0.5,190.3305093,6.862067375,199.0481822,186.2972624,-11.79454744,15.76764145,-35.75403887,1.363107248,0,0,-0.04671702,9.04E-05,0.508900227,0.137764953,619.243805,182.026911,100.7461672,41.74360415,41.63931033,20.30996553,-23.9627974,-38.73849657,-37.72019573,-4.755305484,6.436752289,4.074308658,-18.80382406,5.941372387,3.389954034,2.152976247,2.122159672,1.466905386,1.945910667,2.531477205,2.05258431,1.213458471,1.428563838,1.511514054,1.280756835,1.155807478,33.82365615
FP,5.75,6.25,0.5,188.965558,6.682339206,197.2281298,186.2369073,2.155044622,11.89678367,0.820076563,1.55736155,0,0,-0.006749078,9.76E-05,0.508900227,0.136678358,608.2073783,175.234041,99.20258238,43.29314795,40.69043982,18.38047309,-21.78756121,-33.84206412,-36.39490909,-7.269596164,5.696952423,6.610277112,-16.88981498,6.00701508,3.670011326,1.657851115,1.689099543,1.398244394,1.464536767,2.124342568,1.70396029,1.155733564,1.568083601,1.59492603,1.066705122,1.200465071,36.34154217
NFP,5.85,6.35,0.5,189.2145081,6.730113199,196.9810122,186.2369073,16.0595261,8.279093249,-23.40247603,1.568155893,0,0,0.049023659,5.10E-05,0.508900227,0.137240616,620.0237284,181.6493295,100.225646,41.07846294,35.20136653,14.74464984,-16.76037168,-27.16433595,-35.10154107,-10.79881901,2.966995292,7.044797585,-12.5592043,7.872568719,4.55269909,1.940749393,1.961012855,1.960415005,1.860305089,1.72207613,1.596501683,1.202109291,1.53816253,1.586472247,1.09676487,1.55109717,27.69512732
NFP,6.62,7.12,0.5,194.0592537,7.034516416,202.2731434,189.8935886,-11.81544653,10.78772712,-10.49132824,1.478461554,0.11,0,0.017164047,0.000649981,0.508900227,0.145355096,668.2819681,182.8142348,77.61043339,39.05742864,25.11311173,-14.04628495,-43.47365205,-38.55261109,-30.99727221,-3.749179174,-0.269420767,4.626405241,-6.982605642,17.15807341,8.77632928,5.248081157,2.859098282,2.824009539,1.879985912,2.669639796,2.560801993,1.68733676,1.764073257,1.698152287,1.390344498,1.221210942,89.9756787
