classification,start_time,end_time,duration,f0_mean,f0_std,f0_max,f0_min,f0_reg_coef,f0_reg_coef_mse,f0_slope,mean_distances_f0,silence_before_duration,silence_after_duration,energy_reg,energy_reg_mse,energy_max,energy_mean,mean_coeff_0,mean_coeff_1,mean_coeff_2,mean_coeff_3,mean_coeff_4,mean_coeff_5,mean_coeff_6,mean_coeff_7,mean_coeff_8,mean_coeff_9,mean_coeff_10,mean_coeff_11,mean_coeff_12,std_coeff_0,std_coeff_1,std_coeff_2,std_coeff_3,std_coeff_4,std_coeff_5,std_coeff_6,std_coeff_7,std_coeff_8,std_coeff_9,std_coeff_10,std_coeff_11,std_coeff_12,stability_distance
NFP,15.78,16.28,0.5,128.1918927,26.71279018,157.0965567,98.00987217,-76.48095782,150.5555983,-225.7213218,4.006690572,0.12,0,0.022272762,0.000890129,0.508900227,0.138581336,572.5008456,128.2010707,93.56025512,51.44473681,19.35635547,3.982301289,-10.15984729,-9.444300632,-12.52903795,-11.57106906,-16.92003623,-5.520302664,1.240922059,12.80099884,6.561517354,5.229991183,2.610400052,2.432671291,2.222603483,1.850424164,2.448229842,2.943030511,2.205455279,1.672482865,1.499313055,1.7371706,88.64175744
NFP,15.88,16.38,0.5,111.6884752,8.843807614,118.272261,98.00987217,1.806307881,28.8293941,-91.14990386,2.345423344,0,0,0.013710207,0.000884183,0.508900227,0.14144834,631.9647231,152.2672154,92.29791273,56.67733299,27.73182888,5.990101662,-16.92236868,-15.0791542,-16.02046753,-19.55421943,-18.18485151,-0.227030975,2.463631527,13.05290112,6.864772151,5.193045752,2.301955874,2.762633169,2.117869287,1.914980244,2.178426145,2.663794696,2.140772551,1.623923777,1.968293174,1.760439457,126.5654176
NFP,15.98,16.48,0.5,109.529055,5.825626905,117.1660134,105.9998354,-28.07213983,4.567133671,-36.90677509,1.136309485,0,0,-0.036217388,0.000777916,0.508900227,0.14286747,660.0443934,167.4125499,93.38254086,61.83240023,38.37670885,10.68729742,-21.31786844,-20.42453189,-22.82366875,-28.03536579,-19.34008451,4.976205412,5.026831444,12.72641433,6.942465317,4.959228482,1.905144746,2.653553326,2.317043515,1.712353724,1.497015957,1.809238065,1.766993299,1.584615022,1.918169652,1.671099708,36.86857219
FP,16.08,16.58,0.5,107.6386006,5.701036412,116.7493883,104.8527829,-27.17448669,2.38179865,-38.25694351,0.925259054,0,0,0.017722539,0.000149411,0.508900227,0.139439993,657.8359419,171.2598964,94.69175569,64.46460792,46.73620241,16.06816395,-21.46200728,-20.65352616,-22.51052918,-29.63644435,-16.8079429,8.201329224,3.4004444,11.611583,5.837114626,4.277717762,1.587021022,2.191409157,2.270014996,1.664364423,1.426980841,1.597382016,1.525083563,1.443520074,1.922431299,1.422258447,29.35295316
FP,16.18,16.68,0.5,104.7124534,4.654245216,108.6195237,104.0928003,-13.86999003,0.617660438,-20.56209768,0.645849454,0,0,0.012962737,8.49E-05,0.508900227,0.139967413,687.9553966,185.8630878,93.01817257,63.22558687,50.95881348,19.74213508,-25.77432797,-21.27676607,-17.70282108,-28.96834853,-12.97896861,14.83862988,3.732939893,9.698287382,5.228653437,4.111119506,1.558186412,2.018753865,2.123897241,1.459001121,1.30980204,1.213837676,1.371004259,1.274394312,1.495803772,1.404963635,26.10316901
FP,16.28,16.78,0.5,104.7394816,3.516265695,108.6195237,103.5904496,-5.528122074,1.700719078,0.507747212,0.704083897,0,0,-0.047060331,1.41E-05,0.508900227,0.140403187,700.9110162,199.1700966,100.152778,61.6446779,60.02063973,28.69594371,-23.29704344,-18.79296445,-11.33852129,-27.90083442,-12.26950746,17.51704794,2.848940759,5.114655045,2.675509508,1.74608699,1.393821283,1.33690421,1.158313474,1.444347327,1.610818047,1.606599448,1.435073823,1.050356506,1.25627429,1.377717099,24.5821036
FP,16.38,16.88,0.5,104.1144193,3.091776932,107.2460465,103.5904496,-0.341933407,1.166710512,3.118943087,0.745721836,0,0,-0.032159893,1.29E-05,0.508900227,0.138118545,655.9710482,179.5730689,102.6784783,68.14101871,63.69685948,33.80173455,-16.73541459,-14.33074133,-5.615509269,-22.67843964,-11.85847289,13.26287295,-0.078842778,7.710105202,4.084457978,1.783489547,2.107057706,1.666497702,1.245853014,1.597309936,1.90727997,1.768473347,1.513018114,1.039295944,1.172878911,1.397751462,25.9487623
FP,16.48,16.98,0.5,103.8582116,3.097913703,107.0142282,103.5336524,1.230159799,0.850741775,-9.905830942,0.631938042,0,0,0.000704662,4.69E-05,0.508900227,0.138379719,660.2348892,178.9904808,100.4861207,69.87100602,65.55641044,28.54472339,-20.8338523,-13.37210666,-2.779693344,-18.37730072,-12.3295371,11.91456305,0.662487025,8.281390852,4.193689718,2.116307764,2.265802884,1.871004716,1.825985216,1.941892449,1.897301025,1.76648647,1.352405823,1.063144087,1.194881515,1.374570048,29.85220266
NFP,16.58,17.08,0.5,103.5288078,3.218508803,107.0142282,103.2087761,-0.749472498,1.156329503,-16.82335759,0.630779052,0,0,0.052181829,9.43E-05,0.508900227,0.140564602,691.5048839,191.73812,94.42327729,61.24660722,53.18043402,16.85731239,-21.92506899,-2.395596035,8.966806093,-10.95322231,-13.37955934,10.3263398,0.59890103,11.48725195,5.597725284,2.423302565,3.259267821,3.631157639,3.006634822,2.050180405,2.150725452,2.088102041,1.565502983,1.129860162,1.151979875,1.37391875,46.83427588
NFP,16.68,17.18,0.5,103.7926755,3.159347275,107.0142282,103.2087761,-0.947103493,1.208990215,-8.713040309,0.647276597,0,0,0.062121622,7.74E-05,0.508900227,0.141242134,687.1029296,193.0826976,94.89401988,58.53647828,54.61541593,21.41959652,-10.85653029,4.361693203,7.063261215,-11.57248368,-13.62210652,4.860919174,-5.301865216,11.514762,5.636508822,2.458093021,3.253887624,3.700807586,3.336673213,2.772942173,1.826035578,2.334378505,1.648915218,1.193198049,1.31165575,1.63235252,86.32830554
