classification,duration,f0_mean,f0_std,f0_max,f0_min,f0_reg_coef,f0_reg_coef_mse,f0_slope,mean_distances_f0,silence_before_duration,silence_after_duration,energy_reg,energy_reg_mse,energy_max,energy_mean,mean_coeff_0,mean_coeff_1,mean_coeff_2,mean_coeff_3,mean_coeff_4,mean_coeff_5,mean_coeff_6,mean_coeff_7,mean_coeff_8,mean_coeff_9,mean_coeff_10,mean_coeff_11,mean_coeff_12,std_coeff_0,std_coeff_1,std_coeff_2,std_coeff_3,std_coeff_4,std_coeff_5,std_coeff_6,std_coeff_7,std_coeff_8,std_coeff_9,std_coeff_10,std_coeff_11,std_coeff_12,stability_distance
NFP,0.5,83.17195099,3.605995028,87.41155662,79.18408984,4.211182925,4.114195747,4.408417426000001,0.760957868,0.68,0.0,0.22371637600000002,0.015587498,0.528835493,0.262809705,957.5804668999999,256.4818824,26.20972503,84.52696562,99.83247265,60.47977625,-41.84360497,-65.53567915,-22.00966145,-16.85516011,-20.61544971,9.944058647,-4.306945559,9.383500316000001,4.603409942,6.81285142,3.086070962,5.800477497,6.057779022999999,2.745259762,4.011453249,1.894366098,2.431614996,2.7551103660000003,2.345316061,1.840128983,61.21117497
NFP,0.5,81.95542476,4.920778568,89.42352209999999,75.98488469,16.838023,11.28571853,18.92361142,1.153449258,0.0,0.0,-0.5452088039999999,0.228097913,2.009390232,0.441815568,900.9192385,340.2845079,131.0147017,27.54037599,9.705666973,-15.63270745,-57.80024542,-52.782606200000004,-15.05291366,20.564485,-19.22152968,-28.108725300000003,2.270886554,14.866834400000002,4.845344592,6.914019341,5.512161774,3.0929031960000004,3.184270298,4.080134291999999,2.746334797,3.3128811000000002,3.105143232,1.543081966,1.4820863380000002,1.861921178,49.15709683
NFP,0.5,82.6336121,4.930807155,86.4387756,80.60572362,-0.609061851,3.374442208,-26.20618722,0.909210126,0.0,0.0,2.2931639390000003,0.51883455,3.6126533010000004,0.42328994600000003,941.1139787000001,253.66209790000002,17.31583432,74.05207204,90.20444783,66.20427544,-29.62242831,-64.79451827,-33.00788584,-21.08551207,-30.36309676,4.9363339260000005,4.89658435,20.99676062,8.057864366,5.10366116,3.2393419989999996,5.393961639,4.483248583,3.09256325,3.9614079369999997,2.45080211,2.7359538239999996,1.717976111,1.9642641509999998,2.511505777,40.35499061
NFP,0.5,79.07975936,4.088617165,82.55423467,78.86350995,-0.42773713700000005,1.076238303,2.620020523,0.6251077970000001,0.0,0.0,0.8222681409999999,0.5552725239999999,3.379833025,0.462892728,998.318067,311.50872749999996,38.83291554,41.76992846,21.17407445,1.5238411840000001,-28.07591218,-43.813805200000004,-43.39312433,-8.832115225,-13.95903829,6.185956432999999,11.760679699999999,12.17388007,7.195298611,4.2096986880000005,4.7243114010000005,4.7142247489999995,5.023098455,2.800790034,4.258379227,4.370623585,2.211643772,2.082692255,1.73074341,1.98589624,115.3734783
NFP,0.3,79.16845145,3.7528107619999997,83.31754006,80.43757228,-1.035400464,1.005074495,-18.40039099,1.0674019540000002,0.31,0.36,0.191813176,0.010298706,0.47508365700000005,0.13663768699999998,863.3438266,284.500024,72.73794154,17.12353586,43.31308877,28.90711657,-20.50974027,-32.5961962,-22.15397654,-6.918510461,-25.62108598,-12.71182519,10.39699374,12.12448252,9.011694646,7.25047832,5.2792437969999995,5.876370016,5.178948834,4.759567968,2.106542912,3.7071423219999997,3.1603447119999997,2.214159547,1.924464502,3.573203897,56.48973656
NFP,0.5,81.46754762,3.2319667069999998,84.57160957,79.39506928,5.457085254,3.002670391,-24.34075587,1.381681912,0.0,0.0,-0.24032002100000002,0.00349996,0.508900227,0.18672255899999998,765.4903954,230.0750215,105.81507090000001,75.42492435,67.81529131,51.4839955,12.41701988,-22.19105498,-32.46824323,-12.25249606,-14.52702317,-5.052628655,-1.189994054,8.429602168999999,5.531746393,5.3475692960000005,3.2485338230000003,3.180093935,2.8308649530000003,2.0242342140000003,2.6679086069999998,2.418034554,1.569308371,1.512449334,1.8568786419999999,2.387010397,85.21841020000001
NFP,0.5,82.95548599,3.8793028339999998,86.4387756,80.56697366,-0.672828077,3.824758052,2.353501186,0.8427405370000001,0.0,0.0,1.13534799,0.225791086,2.2827099090000003,0.32113692899999996,938.8487303999999,240.41110930000002,5.721835435,83.31252528,111.20857290000001,82.06590923,-26.99403881,-64.65019003,-31.85596261,-27.38147948,-31.20470548,5.823410807999999,0.96106256,18.48853062,7.355657429,5.03686633,3.3520609219999997,3.853822363,2.937115525,2.8210138710000003,4.052654746,2.472111598,1.7584954369999999,1.786705611,1.801004052,2.521896535,40.14201033
NFP,0.5,79.77388766,3.430509488,83.82268399,77.95316449,6.249190946000001,2.096235901,41.14117815,1.326413687,0.0,0.0,0.709636223,0.467701896,3.0210108339999997,0.44661730299999997,978.7346544,329.0591273,67.38740746,14.023143,-4.47811483,-5.903934287,-28.60158692,-30.60925675,-22.64498505,-17.48061519,-27.98317764,2.071785145,22.59651632,16.43376671,6.783110757,5.761175491,3.8422509039999997,2.867654537,3.189399437,2.0973238430000003,2.514219898,3.41440564,2.841936668,1.922583498,1.622459095,1.9259125469999998,138.601994
NFP,0.12,74.3001899,10.19394589,82.96189961,76.5550224,118.3533378,6.913395134,0.274567383,2.768108203,0.34,0.18,0.024192337,0.000100661,0.136950113,0.043048632999999996,721.5808477,205.5017081,91.04455744,75.33636379,117.1783499,68.68861673,-40.71777328,-93.66153042,-63.42853947,-4.080358625,-12.75027991,-12.22336007,-8.691385536,7.466827205,4.009227913999999,4.119721954,4.250299136000001,3.4268681219999997,2.6938234110000003,2.917743293,3.149900777,4.0168628989999995,3.405976729,2.88277125,2.333279227,2.237935744,44.53644452
NFP,0.21,80.35662813,4.0751134680000005,85.05308983,83.56696462,1.3725854080000002,0.257229224,-4.161877994,0.5534937,0.15,0.13,-0.96507973,0.001243918,0.224455782,0.091978227,753.6726937000001,253.642829,122.3770348,38.62206345,24.26712935,9.139842598,-22.56343118,-34.87023314,-38.84144418,-17.94668883,-22.97866347,-8.830143377,8.049551437,32.37939787,15.60715792,4.980139102,5.611121400000001,2.580279506,2.3523624,2.22719007,2.386801221,2.27804341,2.721164419,1.817979891,1.9482136890000001,2.745124423,44.40138501
